$A,2022-09-07 11:49,E8DB84DF97A9,3.58
$B,ESP_node_OTA_v6_4_12_13.ino  15:34:49  Jun 11 2022
YYYY-MM-DD hh:mm,Temp,Humid
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-10 11:58,
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-10 11:58,22,51
2022-05-10 12:03,22,49
2022-05-10 12:08,23,42
2022-05-10 12:13,22,43
2022-05-10 12:18,22,43
2022-05-10 12:23,22,43
2022-05-10 12:28,22,44
2022-05-10 12:33,22,44
2022-05-10 12:38,22,39
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-10 12:40,
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-10 12:40,21,41
2022-05-10 12:45,21,39
2022-05-10 12:50,22,38
2022-05-10 12:55,22,39
2022-05-10 13:00,22,40
2022-05-10 13:05,21,40
2022-05-10 13:10,21,41
2022-05-10 13:15,21,42
2022-05-10 13:20,21,42
2022-05-10 13:25,21,43
2022-05-10 13:30,21,39
2022-05-10 13:35,21,36
2022-05-10 13:40,20,37
2022-05-10 13:45,20,37
2022-05-10 13:50,20,38
2022-05-10 13:55,20,39
2022-05-10 14:00,20,39
2022-05-10 14:05,20,40
2022-05-10 14:10,20,39
2022-05-10 14:15,20,39
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-10 14:15,
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-10 14:15,20,48
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-12 11:14,Lewis Living Room
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-12 11:14,21,43
2022-05-12 11:19,21,44
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,0000-15-00 00:00,
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
0000-15-00 00:00,21,37
0000-15-00 00:05,21,38
0000-15-00 00:10,22,33
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-19 16:01,wills room
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-19 16:01,23,55
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
$D,2022-05-19 16:03,wills room
$E,5,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-05-19 16:03,24,52
$C,2022-06-05 22:05,5,wills room
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-06-05 22:05,2147483647,2147483647
2022-06-05 22:10,2147483647,2147483647
2022-06-05 22:15,2147483647,2147483647
