obs,timestamp,t1,h1,t2,h2,t10,h10,t25,h25,t26,h26,t27,h27,Lascar-temp,Lascar-RH
1,2022-09-07 23:53,24.2,58.5,23.9,60.4,22.8,55.4,23.9,64.1,23.1,58.7,23.3,54.7,22.5,60.5
2,2022-09-07 23:58,23.6,59,23.5,61.4,22.3,56.1,23.4,64.8,22.5,59.1,22.6,55.4,23,59
3,2022-09-08 00:03,22.9,60.7,22.9,62.1,21.9,57,22.8,65.8,22,59.8,22.1,56.2,22.5,59
4,2022-09-08 00:08,22.5,62.1,22.4,63,21.6,57.7,22.3,66.7,21.7,60.6,21.7,57,22.5,59.5
5,2022-09-08 00:13,22.2,62.9,22.2,63.5,21.5,58.2,22.2,66.9,21.4,61.2,21.5,57.5,22,60
6,2022-09-08 00:18,22,63.5,22,63.8,21.4,58.4,22,67.7,21.3,61.6,21.4,57.9,22,60
7,2022-09-08 00:23,21.9,63.8,21.9,64.2,21.3,58.6,21.8,67.7,21.1,61.8,21.3,58,22,60.5
8,2022-09-08 00:28,21.9,64.2,21.8,64.4,21.2,58.8,21.8,68.2,21.1,62,21.3,58.2,22,60.5
9,2022-09-08 00:33,21.8,64.3,21.8,64.5,21.2,58.9,21.8,68.4,21,62.2,21.1,58.4,22,60.5
10,2022-09-08 00:38,21.8,64.4,21.7,64.6,21.1,59,21.7,68.7,21,62.2,21.1,58.4,22,61
11,2022-09-08 00:43,21.7,64.5,21.8,64.6,21.1,59,21.7,68.4,21,62.3,21.1,58.5,21.5,61
12,2022-09-08 00:48,21.7,64.5,21.7,64.6,21.1,59,21.7,68.8,21,62.3,21.1,58.5,21.5,61
13,2022-09-08 00:53,21.7,64.6,21.7,64.7,21.1,59,21.6,68.8,20.9,62.3,21.1,58.5,21.5,61
14,2022-09-08 00:58,21.7,64.7,21.6,64.7,21.1,59.1,21.6,68.6,20.9,62.4,21.1,58.5,21.5,61
15,2022-09-08 01:03,21.7,64.7,21.7,64.9,21.1,59.1,21.7,68.6,20.9,62.4,21.1,58.6,21.5,61
16,2022-09-08 01:08,21.7,64.7,21.6,64.8,21.1,59.1,21.6,68.9,20.9,62.4,21.1,58.5,21.5,61
17,2022-09-08 01:13,21.7,64.7,21.6,64.8,21.1,59.1,21.6,68.9,20.9,62.4,21.1,58.5,21.5,61.5
18,2022-09-08 01:18,21.7,64.7,21.6,65.1,21.1,59,21.6,68.7,20.9,62.4,21.1,58.5,21.5,61.5
19,2022-09-08 01:23,21.7,64.7,21.7,64.8,21.1,59.1,21.6,68.6,20.9,62.4,21.1,58.5,21.5,61.5
20,2022-09-08 01:28,21.7,64.7,21.6,64.9,21.1,59.1,21.6,68.9,20.9,62.4,21.1,58.6,21.5,61.5
21,2022-09-08 01:33,21.7,64.7,21.6,65,21.1,59.1,21.6,68.8,20.9,62.4,21.1,58.5,21.5,61.5
22,2022-09-08 01:38,21.7,64.8,21.6,64.9,21.1,59.1,21.6,68.8,20.9,62.4,21.1,58.5,21.5,61.5
23,2022-09-08 01:43,21.7,64.8,21.6,64.9,21.1,59.1,21.6,69.1,20.9,62.4,21.1,58.6,21.5,61.5
24,2022-09-08 01:48,21.7,64.8,21.6,65.1,21.1,59.2,21.6,68.9,20.9,62.4,21.1,58.6,21.5,61.5
25,2022-09-08 01:53,21.7,64.8,21.6,64.8,21.1,59.2,21.6,68.8,20.9,62.5,21.1,58.6,21.5,61.5
26,2022-09-08 01:58,21.7,64.8,21.6,65,21.1,59.2,21.6,68.9,20.9,62.5,21.1,58.6,21.5,61.5
27,2022-09-08 02:03,21.7,64.8,21.6,64.9,21.1,59.1,21.6,69.1,20.9,62.5,21.1,58.6,21.5,61.5
28,2022-09-08 02:08,21.7,64.8,21.6,65.1,21.1,59.2,21.6,69,20.9,62.5,21.1,58.6,21.5,61.5
29,2022-09-08 02:13,21.6,64.8,21.6,64.9,21.1,59.2,21.5,69.2,20.9,62.5,21,58.6,21.5,61.5
30,2022-09-08 02:18,21.6,64.8,21.6,65.1,21.1,59.1,21.5,69.1,20.9,62.5,21,58.6,21.5,61.5
31,2022-09-08 02:23,21.6,64.8,21.6,65,21,59.1,21.5,68.9,20.9,62.5,21.1,58.6,21.5,61.5
32,2022-09-08 02:28,21.6,64.7,21.6,64.9,21,59.1,21.6,68.8,20.9,62.5,21.1,58.6,21.5,61.5
33,2022-09-08 02:33,21.6,64.8,21.6,65.1,21,59.1,21.6,68.8,20.9,62.5,21.1,58.6,21.5,61.5
34,2022-09-08 02:38,21.6,64.8,21.6,65,21,59.2,21.6,68.8,20.9,62.5,21,58.6,21.5,61.5
35,2022-09-08 02:43,21.6,64.8,21.6,65,21,59.1,21.5,69,20.9,62.5,21.1,58.6,21.5,61.5
36,2022-09-08 02:48,21.6,64.7,21.6,65,21,59.1,21.6,68.9,20.9,62.5,21.1,58.6,21.5,61.5
37,2022-09-08 02:53,21.6,64.7,21.5,65,21.1,59.1,21.6,68.8,20.9,62.4,21,58.5,21.5,61.5
38,2022-09-08 02:58,21.6,64.7,21.5,65,21,59.1,21.6,69.1,20.9,62.4,21.1,58.6,21.5,61.5
39,2022-09-08 03:03,21.6,64.7,21.6,65,21,59.1,21.5,69.1,20.9,62.4,21,58.5,21.5,61.5
40,2022-09-08 03:08,21.6,64.8,21.6,65,21,59.1,21.6,69,20.9,62.4,21.1,58.5,21.5,61.5
41,2022-09-08 03:13,21.6,64.7,21.6,65,21,59.1,21.6,69.2,20.8,62.5,21,58.6,21.5,61.5
42,2022-09-08 03:18,21.6,64.7,21.6,65.2,21,59.1,21.6,68.6,20.8,62.4,21,58.5,21.5,61.5
