timestamp,temperature,rh,original-timestamp,location
2023-02-08T09:22:00Z,14,49,08/02/2023 09:22,meeting_room_large
2023-02-08T09:27:00Z,14,49,08/02/2023 09:27,
2023-02-08T09:32:00Z,15,47,08/02/2023 09:32,
2023-02-08T09:37:00Z,14,47,08/02/2023 09:37,
2023-02-08T09:42:00Z,14,47,08/02/2023 09:42,
2023-02-08T09:47:00Z,14,47,08/02/2023 09:47,
2023-02-08T09:52:00Z,14,47,08/02/2023 09:52,
2023-02-08T09:57:00Z,14,47,08/02/2023 09:57,
2023-02-08T10:02:00Z,14,47,08/02/2023 10:02,
2023-02-08T10:07:00Z,14,47,08/02/2023 10:07,
2023-02-08T10:12:00Z,14,47,08/02/2023 10:12,
2023-02-08T10:17:00Z,14,47,08/02/2023 10:17,
2023-02-08T10:22:00Z,14,47,08/02/2023 10:22,
2023-02-08T10:27:00Z,14,47,08/02/2023 10:27,
2023-02-08T10:32:00Z,14,47,08/02/2023 10:32,
2023-02-08T10:37:00Z,15,47,08/02/2023 10:37,
2023-02-08T10:42:00Z,14,47,08/02/2023 10:42,
2023-02-08T10:47:00Z,14,47,08/02/2023 10:47,
2023-02-08T10:52:00Z,14,47,08/02/2023 10:52,
2023-02-08T10:57:00Z,15,47,08/02/2023 10:57,
2023-02-08T11:02:00Z,15,47,08/02/2023 11:02,
2023-02-08T11:07:00Z,15,47,08/02/2023 11:07,
2023-02-08T11:12:00Z,15,48,08/02/2023 11:12,
2023-02-08T11:17:00Z,15,48,08/02/2023 11:17,
2023-02-08T11:22:00Z,15,48,08/02/2023 11:22,
2023-02-08T11:27:00Z,15,48,08/02/2023 11:27,
2023-02-08T11:32:00Z,15,48,08/02/2023 11:32,
2023-02-08T11:37:00Z,15,48,08/02/2023 11:37,
2023-02-08T11:42:00Z,15,48,08/02/2023 11:42,
2023-02-08T11:47:00Z,15,48,08/02/2023 11:47,
2023-02-08T11:52:00Z,15,49,08/02/2023 11:52,
2023-02-08T11:57:00Z,15,49,08/02/2023 11:57,
2023-02-08T12:02:00Z,15,48,08/02/2023 12:02,
2023-02-08T12:07:00Z,15,48,08/02/2023 12:07,
2023-02-08T12:12:00Z,15,48,08/02/2023 12:12,
2023-02-08T12:17:00Z,15,48,08/02/2023 12:17,
2023-02-08T12:22:00Z,15,47,08/02/2023 12:22,
2023-02-08T12:27:00Z,15,47,08/02/2023 12:27,
2023-02-08T12:32:00Z,15,47,08/02/2023 12:32,
2023-02-08T12:37:00Z,15,48,08/02/2023 12:37,
2023-02-08T12:42:00Z,15,48,08/02/2023 12:42,
2023-02-08T12:47:00Z,15,49,08/02/2023 12:47,
2023-02-08T12:52:00Z,16,49,08/02/2023 12:52,
2023-02-08T12:57:00Z,16,49,08/02/2023 12:57,
2023-02-08T13:02:00Z,16,50,08/02/2023 13:02,
2023-02-08T13:07:00Z,16,49,08/02/2023 13:07,
2023-02-08T13:12:00Z,16,49,08/02/2023 13:12,
2023-02-08T13:17:00Z,15,49,08/02/2023 13:17,
2023-02-08T13:22:00Z,15,48,08/02/2023 13:22,
2023-02-08T13:27:00Z,15,48,08/02/2023 13:27,
2023-02-08T13:32:00Z,15,48,08/02/2023 13:32,
2023-02-08T13:37:00Z,15,48,08/02/2023 13:37,
2023-02-08T13:42:00Z,15,48,08/02/2023 13:42,
2023-02-08T13:47:00Z,15,48,08/02/2023 13:47,
2023-02-08T13:52:00Z,15,48,08/02/2023 13:52,
2023-02-08T13:57:00Z,15,48,08/02/2023 13:57,
2023-02-08T14:02:00Z,15,48,08/02/2023 14:02,
2023-02-08T14:07:00Z,15,48,08/02/2023 14:07,
2023-02-08T14:12:00Z,15,49,08/02/2023 14:12,
2023-02-08T14:17:00Z,15,48,08/02/2023 14:17,
2023-02-08T14:22:00Z,15,48,08/02/2023 14:22,
2023-02-08T14:27:00Z,15,48,08/02/2023 14:27,
2023-02-08T14:32:00Z,15,48,08/02/2023 14:32,
2023-02-08T14:37:00Z,16,48,08/02/2023 14:37,
2023-02-08T14:42:00Z,16,48,08/02/2023 14:42,
2023-02-08T14:47:00Z,16,48,08/02/2023 14:47,
2023-02-08T14:52:00Z,15,48,08/02/2023 14:52,
2023-02-08T14:57:00Z,15,48,08/02/2023 14:57,
2023-02-08T15:02:00Z,15,48,08/02/2023 15:02,
2023-02-08T15:07:00Z,15,48,08/02/2023 15:07,
2023-02-08T15:12:00Z,15,48,08/02/2023 15:12,
2023-02-08T15:17:00Z,15,48,08/02/2023 15:17,
2023-02-08T15:22:00Z,15,48,08/02/2023 15:22,
2023-02-08T15:27:00Z,15,48,08/02/2023 15:27,
2023-02-08T15:32:00Z,15,48,08/02/2023 15:32,
2023-02-08T15:37:00Z,15,48,08/02/2023 15:37,
2023-02-08T15:42:00Z,15,47,08/02/2023 15:42,
2023-02-08T15:47:00Z,15,47,08/02/2023 15:47,
2023-02-08T15:52:00Z,15,47,08/02/2023 15:52,
2023-02-08T15:57:00Z,15,47,08/02/2023 15:57,
2023-02-08T16:02:00Z,15,47,08/02/2023 16:02,
2023-02-08T16:07:00Z,15,47,08/02/2023 16:07,
2023-02-08T16:12:00Z,15,47,08/02/2023 16:12,
2023-02-08T16:17:00Z,15,47,08/02/2023 16:17,
2023-02-08T16:22:00Z,15,47,08/02/2023 16:22,
2023-02-08T16:27:00Z,15,47,08/02/2023 16:27,
2023-02-08T16:32:00Z,15,47,08/02/2023 16:32,
2023-02-08T16:37:00Z,15,47,08/02/2023 16:37,
2023-02-08T16:42:00Z,15,47,08/02/2023 16:42,
2023-02-08T16:47:00Z,15,47,08/02/2023 16:47,
2023-02-08T16:52:00Z,15,47,08/02/2023 16:52,
2023-02-08T16:57:00Z,15,47,08/02/2023 16:57,
2023-02-08T17:02:00Z,15,47,08/02/2023 17:02,
2023-02-08T17:07:00Z,15,47,08/02/2023 17:07,
2023-02-08T17:12:00Z,15,47,08/02/2023 17:12,
2023-02-08T17:17:00Z,15,47,08/02/2023 17:17,
2023-02-08T17:22:00Z,15,47,08/02/2023 17:22,
2023-02-08T17:27:00Z,15,47,08/02/2023 17:27,
2023-02-08T17:32:00Z,15,47,08/02/2023 17:32,
2023-02-08T17:37:00Z,15,47,08/02/2023 17:37,
2023-02-08T17:42:00Z,15,47,08/02/2023 17:42,
2023-02-08T17:47:00Z,15,47,08/02/2023 17:47,
2023-02-08T17:52:00Z,15,47,08/02/2023 17:52,
2023-02-08T17:57:00Z,15,47,08/02/2023 17:57,
2023-02-08T18:02:00Z,15,47,08/02/2023 18:02,
2023-02-08T18:07:00Z,15,47,08/02/2023 18:07,
2023-02-08T18:12:00Z,15,47,08/02/2023 18:12,
2023-02-08T18:17:00Z,15,47,08/02/2023 18:17,
2023-02-08T18:22:00Z,15,47,08/02/2023 18:22,
2023-02-08T18:27:00Z,15,47,08/02/2023 18:27,
2023-02-08T18:32:00Z,15,47,08/02/2023 18:32,
2023-02-08T18:37:00Z,15,47,08/02/2023 18:37,
2023-02-08T18:42:00Z,15,47,08/02/2023 18:42,
2023-02-08T18:47:00Z,15,47,08/02/2023 18:47,
2023-02-08T18:52:00Z,15,47,08/02/2023 18:52,
2023-02-08T18:57:00Z,15,47,08/02/2023 18:57,
2023-02-08T19:02:00Z,14,47,08/02/2023 19:02,
2023-02-08T19:07:00Z,14,47,08/02/2023 19:07,
2023-02-24T10:45:23Z,37,,,1
2023-02-24T10:47:04Z,38,,,1
2023-02-24T10:48:41Z,39,,,1
2023-02-24T11:20:20Z,40,,,1
2023-02-24T11:30:21Z,41,20,48,29
2023-02-24T11:34:58Z,42,20,48,
2023-02-24T11:39:56Z,43,19,50,
2023-02-24T11:44:55Z,44,18,51,
2023-02-24T11:49:55Z,45,18,52,
2023-02-24T11:54:54Z,46,18,52,
2023-02-24T11:59:53Z,47,17,52,
2023-02-24T12:04:53Z,48,17,52,
2023-02-24T12:09:53Z,49,17,53,
2023-02-24T12:14:52Z,50,17,53,
2023-02-24T12:19:52Z,51,17,53,
2023-02-24T12:24:52Z,52,17,53,
2023-02-26T12:22:43Z,53,,,1
2023-02-26T12:26:03Z,54,9,62,
2023-02-26T12:31:02Z,55,10,61,
2023-02-26T12:36:01Z,56,9,62,
2023-02-26T12:41:01Z,57,9,63,
2023-02-26T12:46:00Z,58,9,62,
2023-02-26T12:51:18Z,59,16,38,34
2023-02-26T13:01:11Z,60,12,33,
2023-02-26T13:06:10Z,61,11,37,
2023-02-26T13:11:11Z,62,10,38,
2023-02-26T13:16:10Z,63,11,38,
2023-02-26T13:26:08Z,64,9,42,
2023-02-26T13:31:06Z,65,9,43,
2023-02-26T13:41:06Z,66,8,47,
2023-03-09T13:23:54Z,67,,,1
2023-03-09T13:25:16Z,68,17,40,31
2023-03-09T13:25:21Z,69,,,1
2023-03-16T16:09:15Z,70,,,1
2023-03-16T16:09:58Z,71,20,42,
2023-03-16T16:14:56Z,72,19,62,
2023-03-16T16:25:23Z,73,19,48,33
2023-03-16T16:30:20Z,74,19,48,
2023-03-16T16:35:18Z,75,18,50,
2023-03-16T16:40:16Z,76,18,52,33
2023-03-16T16:45:15Z,77,18,52,32
2023-03-16T16:50:13Z,78,17,52,32
2023-03-16T16:55:12Z,79,17,52,
2023-03-16T17:00:11Z,80,17,52,
2023-03-16T17:05:09Z,81,17,52,
2023-03-16T17:10:09Z,82,17,53,
2023-03-16T17:15:59Z,83,,,1
2023-03-16T17:17:13Z,84,,,1
2023-03-16T17:17:31Z,85,,,1
2023-03-16T17:25:05Z,86,17,52,36
2023-03-16T17:30:03Z,87,17,52,35
2023-03-16T17:35:02Z,88,17,52,
2023-03-16T17:40:01Z,89,17,52,
2023-03-16T17:45:00Z,90,17,52,
2023-03-16T17:49:59Z,91,17,52,
2023-03-16T17:54:57Z,92,17,52,
2023-03-16T17:59:56Z,93,17,52,
2023-03-16T18:04:55Z,94,17,53,
2023-03-16T18:09:53Z,95,17,53,
2023-03-16T18:14:52Z,96,17,53,
2023-03-16T18:24:50Z,97,17,56,35
2023-03-16T18:29:48Z,98,17,53,
2023-03-16T18:34:47Z,99,17,54,
2023-03-16T18:39:46Z,100,17,55,
2023-03-16T18:44:44Z,101,17,57,
2023-03-16T18:49:44Z,102,17,57,
2023-03-16T18:54:42Z,103,17,57,
2023-03-16T18:59:41Z,104,17,58,
2023-03-16T19:04:40Z,105,18,58,
2023-03-16T19:09:38Z,106,18,57,
2023-03-16T19:14:37Z,107,18,57,
2023-03-16T19:24:34Z,108,18,56,34
2023-03-16T19:29:33Z,109,18,55,
2023-03-16T19:34:32Z,110,18,56,
2023-03-16T19:39:31Z,111,18,56,
2023-03-16T19:44:30Z,112,18,55,
2023-03-16T19:49:28Z,113,18,55,
2023-03-16T19:54:27Z,114,18,57,
2023-03-16T19:59:26Z,115,18,57,
2023-03-16T20:04:25Z,116,18,56,
2023-03-16T20:09:23Z,117,18,56,
2023-03-16T20:14:22Z,118,17,56,
2023-03-16T20:24:20Z,119,17,56,33
2023-03-16T20:29:18Z,120,17,56,
2023-03-16T20:34:17Z,121,17,55,
2023-03-16T20:39:16Z,122,17,55,
2023-03-16T20:44:15Z,123,17,55,
2023-03-16T20:49:14Z,124,17,55,
2023-03-16T20:54:12Z,125,17,55,
2023-03-16T20:59:11Z,126,17,55,
2023-03-16T21:04:10Z,127,17,55,
2023-03-16T21:09:09Z,128,17,57,
2023-03-16T21:14:08Z,129,17,58,
