timestamp,temperature,rh,original-timestamp,location
2023-02-04T10:50:00Z,17,66,04/02/2023 10:50,lower_hall
2023-02-04T10:55:00Z,17,66,04/02/2023 10:55,
2023-02-04T11:00:00Z,17,66,04/02/2023 11:00,
2023-02-04T11:05:00Z,17,65,04/02/2023 11:05,
2023-02-04T11:10:00Z,17,66,04/02/2023 11:10,
2023-02-04T11:15:00Z,17,66,04/02/2023 11:15,
2023-02-04T11:20:00Z,17,65,04/02/2023 11:20,
2023-02-04T11:25:00Z,17,66,04/02/2023 11:25,
2023-02-04T11:30:00Z,17,65,04/02/2023 11:30,
2023-02-04T11:35:00Z,17,66,04/02/2023 11:35,
2023-02-04T11:40:00Z,18,66,04/02/2023 11:40,
2023-02-04T11:45:00Z,18,66,04/02/2023 11:45,
2023-02-04T11:50:00Z,18,67,04/02/2023 11:50,
2023-02-04T11:55:00Z,18,67,04/02/2023 11:55,
2023-02-04T12:00:00Z,18,67,04/02/2023 12:00,
2023-02-04T12:05:00Z,18,67,04/02/2023 12:05,
2023-02-04T12:10:00Z,18,66,04/02/2023 12:10,
2023-02-04T12:15:00Z,18,66,04/02/2023 12:15,
2023-02-04T12:20:00Z,18,66,04/02/2023 12:20,
2023-02-04T12:25:00Z,18,64,04/02/2023 12:25,
2023-02-04T12:30:00Z,18,64,04/02/2023 12:30,
2023-02-04T12:35:00Z,18,64,04/02/2023 12:35,
2023-02-04T12:40:00Z,18,64,04/02/2023 12:40,
2023-02-04T12:45:00Z,18,64,04/02/2023 12:45,
2023-02-04T12:50:00Z,18,64,04/02/2023 12:50,
2023-02-04T12:55:00Z,18,64,04/02/2023 12:55,
2023-02-04T13:00:00Z,17,64,04/02/2023 13:00,
2023-02-04T13:05:00Z,17,64,04/02/2023 13:05,
2023-02-04T13:10:00Z,17,64,04/02/2023 13:10,
2023-02-04T13:15:00Z,17,64,04/02/2023 13:15,
2023-02-04T13:20:00Z,17,64,04/02/2023 13:20,
2023-02-04T13:25:00Z,17,64,04/02/2023 13:25,
2023-02-04T13:30:00Z,17,64,04/02/2023 13:30,
2023-02-04T13:35:00Z,17,64,04/02/2023 13:35,
2023-02-04T13:40:00Z,17,64,04/02/2023 13:40,
2023-02-04T13:45:00Z,17,64,04/02/2023 13:45,
2023-02-04T13:50:00Z,16,64,04/02/2023 13:50,
2023-02-04T13:55:00Z,16,64,04/02/2023 13:55,
2023-02-04T14:00:00Z,16,64,04/02/2023 14:00,
2023-02-04T14:05:00Z,16,64,04/02/2023 14:05,
2023-02-04T14:10:00Z,16,64,04/02/2023 14:10,
2023-02-04T14:15:00Z,16,64,04/02/2023 14:15,
2023-02-04T14:20:00Z,16,64,04/02/2023 14:20,
2023-02-04T14:25:00Z,16,64,04/02/2023 14:25,
2023-02-04T14:30:00Z,16,64,04/02/2023 14:30,
2023-02-04T14:35:00Z,16,64,04/02/2023 14:35,
2023-02-04T14:40:00Z,16,64,04/02/2023 14:40,
2023-02-04T14:45:00Z,16,63,04/02/2023 14:45,
